id,eeprom,speed_mode,fan_qtd,speed_control,project_type,bios_id
40,ThinkPad A275,Hexadecimal,Single Fan,1,2,R0N
41,ThinkPad Helix 2nd,Hexadecimal,Single Fan,1,2,N17
42,ThinkPad Yoga 260,Hexadecimal,Single Fan,1,2,N1G
43,ThinkPad P50s,Hexadecimal,Single Fan,1,2,N1K
44,ThinkPad L480,Decimal,Single Fan,1,2,R0Q
45,ThinkPad L580,Decimal,Single Fan,1,2,R0Q
46,ThinkPad E475,Decimal,Single Fan,1,2,R0E
47,ThinkPad E475,Decimal,Single Fan,1,2,R0D
48,ThinkPad E575,Decimal,Single Fan,1,2,R0E
49,ThinkPad L470,Hexadecimal,Single Fan,0,2,R0G
50,ThinkPad L450,Decimal,Single Fan,0,2,JD
51,ThinkPad L460,Hexadecimal,Single Fan,0,2,R08
52,ThinkPad E470,Decimal,Single Fan,1,2,R0D
53,ThinkPad E580,Decimal,Single Fan,1,2,R0P
54,ThinkPad E485,Decimal,Single Fan,1,2,R0U
55,ThinkPad E585,Decimal,Single Fan,1,2,R0U
56,ThinkPad E480,Decimal,Single Fan,1,2,R0P
57,ThinkPad P50,Hexadecimal,Dual Fan,1,2,N1E
58,ThinkPad P51,Hexadecimal,Dual Fan,1,2,N1U
59,ThinkPad P52,Hexadecimal,Dual Fan,1,2,N2C
60,ThinkPad P70,Hexadecimal,Dual Fan,1,2,N1D
61,ThinkPad P71,Hexadecimal,Dual Fan,1,2,N1T
62,ThinkPad P72,Hexadecimal,Dual Fan,1,2,N2C
63,ThinkPad P1,Hexadecimal,Dual Fan,1,2,N2E
64,ThinkPad E460,Hexadecimal,Single Fan,0,2,R00
65,ThinkPad X1 Carbon 2nd,Hexadecimal,Single Fan,1,2,GR
66,VersaPro Type VB,Hexadecimal,Single Fan,1,2,N21
67,VersaPro Type VB,Hexadecimal,Single Fan,1,2,N2K
68,VersaPro Type VB,Hexadecimal,Single Fan,1,2,N2Z
69,ThinkPad X1 Yoga 1st,Hexadecimal,Single Fan,1,2,N1F
70,ThinkPad S1(2ndGen),Hexadecimal,Single Fan,1,2,N1G
71,ThinkPad E560,Hexadecimal,Single Fan,0,2,R00
72,ThinkPad P51s,Hexadecimal,Single Fan,1,2,N1V
73,ThinkPad Yoga 370,Hexadecimal,Single Fan,1,2,R0H
74,ThinkPad S1(3rdGen),Hexadecimal,Single Fan,1,2,R0H
75,ThinkPad 52,Hexadecimal,Single Fan,1,2,R0C
76,ThinkPad 52 (Gen 1),Hexadecimal,Single Fan,1,2,R0C
77,ThinkPad 13 (Gen 1),Hexadecimal,Single Fan,1,2,R0C
78,ThinkPad 52 2nd Gen,Hexadecimal,Single Fan,1,2,R0J
79,ThinkPad 13 2nd Gen,Hexadecimal,Single Fan,1,2,R0J
80,ThinkPad X1 Tablet Gen 3,Hexadecimal,Single Fan,1,2,N1Z
81,ThinkPad 11e 4th Gen,Hexadecimal,Single Fan,1,2,R0K
82,ThinkPad Yoga 11e 4th Gen,Hexadecimal,Single Fan,1,2,R0K
83,ThinkPad P52s,Hexadecimal,Single Fan,1,2,N27
84,ThinkPad X1 Carbon 6th,Hexadecimal,Single Fan,1,2,N23
